mjd,r,err_r,i,err_i,g,err_g,z,err_z,V,err_V
55738.91463414634,20.138530847298952,0.04780973648300431,19.93618132005875,0.05497909675994174,20.92742318134141,0.08024098978115395,19.74495828747945,0.07353472973456658,20.208684099085872,0.05046577128713598
55742.03658536585,20.326394926805165,0.04786234725169735,20.11058964763096,0.05469759801579709,21.145474503329694,0.08099738217819849,19.90677647270772,0.07318854241662794,20.402229029349428,0.050715881444161746
55745.15853658537,20.507530157231656,0.04764603920260533,20.28082354382687,0.05403446229711454,21.3516260342208,0.08103061203478626,20.066807158605613,0.07220089606764894,20.587941136943982,0.050653017590983465
55748.28048780488,20.67864153898573,0.047355048439970966,20.443650482390524,0.05323868405984442,21.542395749791012,0.08043336896033507,20.221876537946883,0.07083402180610092,20.762501184558886,0.05043611735295021
55751.40243902439,20.836743031241383,0.047196113539482075,20.596094354860085,0.05259679849567468,21.71472024341358,0.07936332366712837,20.369018106588655,0.06942630844351609,20.922921450319308,0.050240968577503486
55754.5243902439,20.979356285909375,0.04730044481775361,20.735635989734703,0.05233712323799202,21.866153781766243,0.0780403566180197,20.505674828626994,0.06832580511138377,21.066743510824693,0.05019150542746366
55757.64634146341,21.10466905504245,0.04761545274979366,20.86037472175299,0.05250127478864149,21.995023537170667,0.0767333419719775,20.629863642099565,0.06778314445239474,21.19219513503765,0.05027162188927074
55760.76829268293,21.21163885667636,0.0478556501143133,20.969136434197807,0.05286828511041444,22.10052662256318,0.07576512010295719,20.740287578175497,0.06786118314775888,21.298291956993594,0.05028465509224935
55763.89024390244,21.300032167016354,0.047651256945878566,21.061518141584912,0.05307781651286346,22.182759404491264,0.07561967006792743,20.836385375045737,0.06849418913361256,21.384874291131638,0.0499961718750709
55767.01219512195,21.37039481424813,0.04713091063786576,21.137864559231872,0.053156286236959505,22.24267513723487,0.07728855437016412,20.91831381978659,0.06987770751458643,21.452574868854015,0.04969818830119753
55770.134146341465,21.423954928777633,0.04834595869125031,21.19917776842297,0.054748410211708544,22.28197178466951,0.08290582043079651,20.986863696847877,0.07334546036313408,21.502718956727037,0.051531860736963656
55773.256097560974,21.46246529496638,0.0570131007291029,21.24696657009241,0.06276815357581882,22.302917504918184,0.09621495428552351,21.04331569978183,0.08250030690796618,21.537163804905802,0.06092582047475674
55776.37804878049,21.48799681745274,0.08028419233998933,21.28304699272644,0.08431032033839463,22.30812622570656,0.12189207513866371,21.089247539569442,0.10310404273066037,21.55808923609098,0.08454489368092703
55779.5,21.50269869103178,0.12193879965123954,21.30930931074677,0.12416809051704945,22.300299660144503,0.16406797128956943,21.126307386686904,0.14061856062704683,21.56775505131779,0.12621702227847986
