l,U,B,V,R,I
3056.0112022404483,0.0,0.0,0.0,0.0,0.0
3057.611522304461,0.0,0.0,0.0,0.0,0.0
3059.2118423684738,0.0038947566740067737,0.0,0.0,0.0,0.0
3060.8121624324863,0.012917331915571935,0.0,0.0,0.0,0.0
3062.4124824964993,0.021958775207537102,0.0,0.0,0.0,0.0
3064.0128025605122,0.031019101341864787,0.0,0.0,0.0,0.0
3065.6131226245247,0.04009832511051751,0.0,0.0,0.0,0.0
3067.2134426885377,0.0491964613054655,0.0,0.0,0.0,0.0
3068.8137627525507,0.05712096451125187,0.0,0.0,0.0,0.0
3070.414082816563,0.0597522838774571,0.0,0.0,0.0,0.0
3072.014402880576,0.062388997316559135,0.0,0.0,0.0,0.0
3073.6147229445887,0.06503110902031518,0.0,0.0,0.0,0.0
3075.2150430086017,0.0676786231804855,0.0,0.0,0.0,0.0
3076.8153630726147,0.07033154398882804,0.0,0.0,0.0,0.0
3078.415683136627,0.07298987563710081,0.0,0.0,0.0,0.0
3080.01600320064,0.07565362231706403,0.0,0.0,0.0,0.0
3081.616323264653,0.07832278822047566,0.0,0.0,0.0,0.0
3083.2166433286657,0.08099737753909368,0.0,0.0,0.0,0.0
3084.8169633926786,0.08367739446467833,0.0,0.0,0.0,0.0
3086.417283456691,0.08636284318898683,0.0,0.0,0.0,0.0
3088.017603520704,0.08905372790377944,0.0,0.0,0.0,0.0
3089.617923584717,0.09175005280081407,0.0,0.0,0.0,0.0
3091.2182436487296,0.09445182207184874,0.0,0.0,0.0,0.0
3092.8185637127426,0.09715903990864369,0.0,0.0,0.0,0.0
3094.418883776755,0.09987171050295611,0.0,0.0,0.0,0.0
3096.019203840768,0.10258983804654628,0.0,0.0,0.0,0.0
3097.619523904781,0.10531342673117212,0.0,0.0,0.0,0.0
3099.2198439687936,0.10804248074859163,0.0,0.0,0.0,0.0
3100.8201640328066,0.11077700429056506,0.0,0.0,0.0,0.0
3102.4204840968196,0.11351700154885037,0.0,0.0,0.0,0.0
3104.020804160832,0.11626247671520552,0.0,0.0,0.0,0.0
3105.621124224845,0.11901343398139073,0.0,0.0,0.0,0.0
3107.2214442888576,0.12176987753916327,0.0,0.0,0.0,0.0
3108.8217643528706,0.1245318115802834,0.0,0.0,0.0,0.0
3110.4220844168835,0.127299240296509,0.0,0.0,0.0,0.0
3112.022404480896,0.13007216787959808,0.0,0.0,0.0,0.0
3113.622724544909,0.13285059852131087,0.0,0.0,0.0,0.0
3115.2230446089216,0.13563453641340462,0.0,0.0,0.0,0.0
3116.8233646729345,0.1384239857476396,0.0,0.0,0.0,0.0
3118.4236847369475,0.1412189507157737,0.0,0.0,0.0,0.0
3120.02400480096,0.14446837362454026,0.0,0.0,0.0,0.0
