mjd,r,err_r,g,err_g,i,err_i,R,err_R
55147.58064516129,20.771329884444235,0.20673644346595646,21.102916601244125,0.20673644348516862,20.819781015833236,0.20694132316604563,20.98582493795659,0.21637217451040355
55150.62903225807,20.774622177933345,0.22701786173468178,21.106208894732884,0.22701786175457342,20.823100534533822,0.22722799616855915,20.989295203710935,0.23602287982429895
55153.67741935484,20.781985356436586,0.24844632295441313,21.11357207323558,0.24844632297439262,20.83046917156803,0.24864543895886732,20.996694067819632,0.256840438640134
55156.72580645161,20.794444041442965,0.2706266938269993,21.126030758241146,0.27062669384675614,20.842928508457902,0.2708142746495396,21.009157014639584,0.27853297712742864
55159.77419354839,20.812942463681914,0.2932325787315711,21.14452918047895,0.29323257875101,20.861426977844474,0.29341174487843286,21.02765574512139,0.30079528655320054
55162.82258064516,20.83836286436316,0.3159834630752529,21.169949581158622,0.3159834630944625,20.886847380608245,0.31615770684923766,21.053076159425803,0.32334715498070277
55165.87096774193,20.871549906947656,0.338618189955082,21.20313662374105,0.3386181899743202,20.9200344232473,0.33879104019415773,21.086263202377843,0.3459290311993903
55168.91935483871,20.913340320290253,0.36086630166119804,21.24492703708096,0.36086630168090206,20.9618248365882,0.3610414764919013,21.128053615723367,0.3682792143798514
55171.967741935485,20.96459819598629,0.3824158933056896,21.296184912773576,0.3824158933265335,21.01308271228087,0.38259756641655474,21.179311491415312,0.3901054080363675
55175.01612903226,21.02625775715002,0.40287442293282866,21.357844473932985,0.4028744229558126,21.074742273440336,0.4030676124566605,21.240971052573787,0.4110506439327746
55178.06451612903,21.09937723937653,0.4217163361830827,21.43096395615406,0.42171633620971233,21.147861755661484,0.42192750210351854,21.314090534793696,0.43064952644151794
55181.1129032258,21.185210250234586,0.4382071948987974,21.51679696700529,0.4382071949314013,21.2336947665128,0.4384452195562082,21.399923545643446,0.4482679935088531
55184.16129032258,21.285305518095406,0.4512862974549709,21.616892234857463,0.45128629749730115,21.333790034365087,0.4515642110267697,21.500018813493753,0.4630159585279288
55187.209677419356,21.401654169035332,0.4593745981620145,21.73324088578633,0.4593745982204093,21.450138685294103,0.4597128558643148,21.616367464420236,0.4736167806136252
55190.25806451613,21.536919641253096,0.46004326854375166,21.868506357989737,0.46004326862962014,21.585404157497695,0.4604765636373946,21.75163293662054,0.47821285924938656
55193.3064516129,21.694818607522315,0.4494099266741014,22.026405324239864,0.449409926809786,21.74330312374807,0.4500030936127748,21.909531902866544,0.47410120597527383
55196.354838709674,21.880796402046144,0.42097801643335686,22.212383118737478,0.42097801666825924,21.929280918246032,0.42186961484655544,22.0955096973585,0.4575389930990758
55199.403225806454,22.10332808574242,0.3633498921981871,22.4349148023961,0.36334989266502615,22.15181260190515,0.364904642045191,22.31804138100899,0.4247556281844054
55202.45161290323,22.376710662440395,0.25707831075651355,22.70829737903621,0.2570783119696538,22.425195178546016,0.2606966456048337,22.591423957636604,0.38231492905806885
55205.5,22.728036868650175,0.1407304155894414,23.05962358514718,0.1407304200516771,22.776521384658288,0.15291706962869095,22.94275016372625,0.41564272304987815
