mjd,B,err_B,UVM2,err_UVM2,UVW1,err_UVW1,UVW2,err_UVW2,V,err_V,U,err_U
57164.392857142855,17.930603736380036,0.03155607060127002,18.317391596494748,0.05214685716007397,18.186859624664965,0.054823753298216385,18.388978488728625,0.05389092071609567,17.35600740765185,0.035870643410799,17.70252437410075,0.05598918473988736
57167.482142857145,18.00036442120006,0.03324776267358018,18.385959300454367,0.05376406586542747,18.27057847182254,0.056862146488063495,18.44196692734662,0.05517771904412164,17.4175368946823,0.03742549421273535,17.808993503230116,0.058677383211889846
57170.57142857143,18.07061125124888,0.034860575867320005,18.427831899561653,0.05297534267536063,18.32559323261211,0.056180869757209546,18.472019440324633,0.05442773438131812,17.482658010933466,0.038958355236663605,17.89763455366062,0.059748660956952936
57173.66071428572,18.140861522641178,0.03631846680918441,18.452505373066476,0.05081972240101369,18.36166821950004,0.05395007674115144,18.48864676440813,0.05254720052136485,17.54959987878213,0.04040855872021383,17.97235320606476,0.05972293076030039
57176.75,18.210568348892657,0.03755641015718334,18.46913513288398,0.04859929414261978,18.388710812193132,0.051735898237384684,18.50050230235745,0.05061424057147945,17.616568038724456,0.04172088091896727,18.037604961412615,0.059534637576528895
57179.83928571428,18.279123274373905,0.038529571086986084,18.48445627597831,0.047184231411293555,18.414256070772964,0.050624816491152066,18.513721797747415,0.049366628999086955,17.681926506954127,0.04284180248447385,18.097096525789507,0.06000412259116775
57182.92857142857,18.34586347813252,0.039237897243317416,18.502052844215918,0.046775764044833835,18.442441341544555,0.05085881304117215,18.531401326131533,0.049020704843128565,17.744361497518423,0.0437446562290526,18.15301768246833,0.061480695851714354
57186.017857142855,18.410084655043313,0.03977218428022196,18.522530013143747,0.0472006130472942,18.47403818811994,0.05216532427551369,18.55377047178563,0.049444062963874616,17.802990415016403,0.04449194904950275,18.205866474066397,0.06390702684793609
57189.107142857145,18.471060356487946,0.04038429612405458,18.544140857924113,0.04830444645154799,18.507035797723404,0.054255082558824365,18.57871512943057,0.05042682281494541,17.8573876192604,0.045323604219611305,18.254726390642205,0.06706767160092611
57192.19642857143,18.528067964263222,0.04156574736382794,18.563637340250157,0.049897343501788524,18.537523578880485,0.0567631848305819,18.602529280569236,0.05172453648963835,17.907519094528762,0.04672969060968291,18.297786042657144,0.07058408246068312
57195.28571428572,18.58042054733845,0.04407204939467231,18.57724937847839,0.05129843659326309,18.560798115643195,0.05867765681693651,18.620885599539896,0.05287172422600158,17.95360450008717,0.049436761913630625,18.33290134531618,0.07367252527816494
57198.375,18.627502696150746,0.04878907480624605,18.581682496283612,0.05141727976404447,18.572598383000095,0.05843921651975097,18.629946131361685,0.05332036712585196,17.99594650672521,0.054254365125439206,18.35806470982444,0.07538252971665986
57201.46428571428,18.66880725006713,0.056435948767098155,18.57493786535452,0.050665072664497365,18.570218933279303,0.05649955443697365,18.62735819291645,0.05374731739431787,18.034775295466897,0.06185063763842486,18.37174661349107,0.07639572390640534
57204.55357142857,18.703968940449762,0.06732366685296047,18.556729775726335,0.055109409911528635,18.553150632196104,0.0613607858976417,18.612785022098613,0.05855167245697789,18.070148226398896,0.07263871357394754,18.37315074590571,0.08275016577696893
57207.642857142855,18.73279069734704,0.08135805385786499,18.52839115779632,0.07560703382225624,18.52302572231908,0.08773138384884503,18.58776996391453,0.07532064853523938,18.101924993731483,0.08683356330387744,18.36241093556933,0.10601535630469942
57210.732142857145,18.75525893888029,0.09819012531225543,18.492365929750786,0.11549923935982083,18.482960304416785,0.13813381904711883,18.55506101425344,0.10767794496056976,18.12981477014986,0.1045362776522799,18.34067801184201,0.1525286959844158
57213.82142857143,18.771545575062387,0.11734831846031617,18.451537310939877,0.17092101130895526,18.436646136095543,0.20651121085606025,18.517762269511437,0.1536570758758286,18.153472000261893,0.12571969286332374,18.31000402127517,0.21935296403804613
57216.91071428572,18.781996430330814,0.13831087722411822,18.4086397652166,0.2373936230787593,18.387559383511505,0.28710944019998696,18.47865872428664,0.20980625691682978,18.17260744166022,0.15013176036633533,18.27300074285877,0.30064929377778343
57220.0,18.787107836837354,0.1605434863555589,18.365889431055997,0.3108563752679247,18.33848099146075,0.3749777189577054,18.439865156631747,0.2727177941453102,18.18708254786273,0.1772069601298025,18.232374686166466,0.3906130800480957
57223.08928571428,18.787494760725718,0.1835241366071175,18.324844991044024,0.38752240764297174,18.291334992008988,0.46563782494886136,18.402764177909525,0.3391257434778402,18.196965857515824,0.20605840788408797,18.19050646479228,0.4839632153636834
57226.17857142857,18.78385464433325,0.20676275419213946,18.286440190269133,0.4639025626029657,18.247251024304717,0.5550692142932719,18.368117805632952,0.40594090687256035,18.202544404966712,0.23556759405730573,18.1492017007418,0.5761158260103042
57229.267857142855,18.776931096219805,0.22981603135764628,18.251112771825433,0.5369289440819484,18.2067426369847,0.6398120176422714,18.336244129098443,0.47037533954111194,18.20429586020975,0.26454039438264065,18.10964353427113,0.6633025170786216
57232.357142857145,18.767480810474343,0.25229645099556636,18.218967708872174,0.6041016447322016,18.169918948775173,0.7171032434446079,18.307191850334178,0.5301040277039638,18.202834819978634,0.29187708103056736,18.07249655048954,0.7426485407438898
57235.44642857143,18.756245963985364,0.2738752043439396,18.189933540739045,0.6636180030392033,18.136679624206934,0.7850048122648058,18.280883219267107,0.583409184769188,18.19884881326063,0.31670912604439877,18.038081559678364,0.8122264686738944
57238.53571428572,18.743933152614257,0.29427970632400197,18.163889072236945,0.7144505753875686,18.10686833664119,0.8424821155297525,18.257218104331695,0.629266797676765,18.193037450989532,0.33847519052036984,18.006551487184893,0.871074058389706
57241.625,18.73119892468469,0.3132870517043616,18.14075130223057,0.756347231668079,18.080376640525536,0.8893974350176114,18.236141375135382,0.6673524674475978,18.186063712193366,0.3569308633806902,17.978027250083,0.9191464535278893
57244.71428571428,18.71864127085353,0.3307149312083098,18.120524785470845,0.7897434569531886,18.057200720076004,0.9264030991634215,18.217678830346465,0.6979631598522205,18.178521429133866,0.372103603199091,17.952680411860026,0.9571830962089479
57247.80357142857,18.706796044598203,0.3464113644715664,18.10331853951883,0.8155985027042936,18.037459711143153,0.954746773549829,18.201948012150616,0.7218699538412678,18.17091889659546,0.3842131077788525,17.93076808388031,0.9864975092739956
57250.892857142855,18.696137162194447,0.36024427495586275,18.08933957467022,0.8351846997170872,18.021387132507645,0.9760236675129964,18.189150905789507,0.7401299252317943,18.16367584422681,0.3935787907753109,17.912634016580892,1.0087232798388828
57253.982142857145,18.687079484247878,0.37209156580433944,18.07887256216763,0.8498664695354542,18.00930698391368,0.9919192681627004,18.179555582245392,0.7538896750016106,18.15712986112341,0.4005325491886676,17.89869079748639,1.0255592546733123
57257.07142857143,18.679983434588678,0.38183203659640147,18.072253700002527,0.8609011213435511,18.00160402089071,1.003980288317038,18.17347296004131,0.764208360835576,18.1515484284291,0.4053489955701172,17.889395013526983,1.0385498906144017
57260.16071428572,18.675160605803725,0.38933724400113157,18.06984434622064,0.8692810931298444,17.99869459764586,1.0134358951716174,18.171233155316575,0.7719172946049333,18.147143497951337,0.40819877136990396,17.88522290012728,1.0489196782076389
57263.25,18.672879793796188,0.3944642599453131,18.07200733414196,0.8756228574654562,18.001001272791445,1.0210735895088972,18.17316386369344,0.7775208800598671,18.144086570857446,0.40912495071197824,17.886650054997595,1.0574624313914982
