mjd,V,err_V,R,err_R,I,err_I,B,err_B,U,err_U
56182.53278688525,20.070619784919884,0.025975135360970843,19.63723090450486,0.028437637011655515,19.351608947708666,0.03547723238288262,20.816840405269133,0.04410770486421433,20.841061352732034,0.27076644157944807
56185.58196721312,20.184264735890554,0.026715478982880084,19.717027650784434,0.0291356936272742,19.417904797471945,0.036700086459746935,21.004230792307965,0.04935356430317905,21.376716840375636,0.4549966405709044
56188.63114754098,20.297148846410295,0.027968444986057085,19.79653939887825,0.030095714077675386,19.48344964333726,0.038372549924915164,21.197686257163287,0.05694591508391114,22.24943169450132,1.0400077423116458
56191.68032786885,20.40784612187416,0.030023237601933827,19.875236776769167,0.03133983556928698,19.549041129802045,0.040322910311433084,21.394360526025658,0.06796445469343448,22.24943169450132,1.050721127368814
56194.729508196724,20.51508384396188,0.033082202628346324,19.952765913878846,0.032865241399674915,19.615672080130004,0.042918194857814444,21.59056093833992,0.08342191492070014,22.24943169450132,1.0679925620379618
56197.77868852459,20.617868707271725,0.03716978232125142,20.028979592423703,0.03464269265924671,19.68400462152435,0.04611379254677237,21.78185606445563,0.10387518598749546,22.24943169450132,1.0966334415637748
56200.82786885246,20.715602873850912,0.042120204600649934,20.10395340005921,0.03662445458731916,19.75372073634435,0.0490609415869928,21.963463623278827,0.12908065718936543,22.24943169450132,1.115893012799161
56203.87704918033,20.80816603738025,0.047630411432221624,20.177983766439148,0.038756270944198895,19.823492731278627,0.05136677063395292,22.13092181086331,0.1577962414212346,22.24943169450132,1.1184529953691498
56206.92622950819,20.895944006533433,0.053325035661334085,20.251567546817913,0.04098692554927518,19.892461162646306,0.05377165474309346,22.280852516893333,0.18778794114544556,22.24943169450132,1.1215263629185042
56209.975409836065,20.979795796785158,0.05880162095156172,20.32536560528981,0.04327169525953601,19.96220414530647,0.056781034751619414,22.411593622347382,0.21609885372336196,22.24943169450132,1.1292766515877575
56213.024590163935,21.06096568349483,0.06365388362039431,20.400154871460224,0.04557029961192848,20.0364285434685,0.06002513974045802,22.52365131886792,0.2395858212039119,22.24943169450132,1.1284083832876362
56216.07377049181,21.140958301167085,0.0674829179079955,20.476774116012454,0.047843513659377945,20.1177293861762,0.06313811204323451,22.619916517730225,0.2555707811824738,22.24943169450132,1.11137425388363
56219.12295081967,21.221399454680355,0.06990852489792869,20.556068177230014,0.050054258613484205,20.204358589905826,0.06619693859272205,22.70538783471034,0.2622826075535947,22.24943169450132,1.078322533625398
56222.17213114754,21.303902325872276,0.07059494180998466,20.638833919859458,0.052178582023909785,20.290959836629497,0.07056256802629607,22.78618955528978,0.258824308147385,22.24943169450132,1.0515946038256851
