mjd,r',err_r',i',err_i',g',err_g',z',err_z',r,err_r,u',err_u'
55304.87142857143,18.93708721231379,0.01850584344297502,19.015268799594157,0.022409216170815222,19.205779424630684,0.03236160290793271,19.110233424317407,0.024903493577442388,18.94683397475457,0.01881298060426518,20.2645717028419,0.0882083703277608
55307.985714285714,19.04869006450027,0.018722320135552178,19.10117485474196,0.022464875367331223,19.389389517943645,0.03346510779998174,19.189008746349405,0.024788866060331056,19.069639733768767,0.018928008539178254,20.60940278756307,0.10912425651422902
55311.1,19.169783038987475,0.018879868096388343,19.195987819553494,0.022421766590825298,19.591477827616337,0.03454989661694986,19.2759362368635,0.02454040606398966,19.203085421568254,0.018983504671292676,20.951043952403996,0.12739743304039308
55314.21428571428,19.299227016372548,0.018971132521101053,19.29916485503928,0.02230755687211059,19.810692748179044,0.035562762343753745,19.37091380086346,0.024213175990254788,19.3456816316101,0.018958730604900158,21.285285287326978,0.13686846245855064
55317.328571428574,19.435905347139936,0.01906282815687708,19.410257658499013,0.02222244474751557,20.045029245824995,0.0364914331678943,19.473931963846272,0.023927806231848776,19.495862139706173,0.01890605465309435,21.615955971160226,0.1256021625208838
55320.44285714286,19.578809345194813,0.019314880825550624,19.52893748172589,0.022341838977438126,20.29175190688379,0.0374650735996713,19.585041274893932,0.023865663155101968,19.65211358400472,0.018995916386293544,21.954793629834874,0.12714288315296798
55323.55714285714,19.72713585013545,0.019963536826302655,19.655012211910766,0.022893532817531023,20.54745864430795,0.03891250718541952,19.704333175159825,0.02426367305602021,19.813131901700494,0.01954269878498606,22.320561626344517,0.42949070017711327
55326.671428571426,19.880379575461863,0.021252302867896672,19.788429026940875,0.02410563388174841,20.808398752995338,0.04166404535996791,19.83192589277229,0.02541147708831833,19.977984319016052,0.02096368845725951,22.74148674164917,1.3074644772462218
55329.78571428572,20.03839658614101,0.023338925194500114,19.929255852562726,0.026144326023985292,21.071136411504447,0.0467133159749739,19.967939842252846,0.027628390471278248,20.146246214404773,0.023637079633756476,23.267518992551267,3.5029867773119396
55332.9,20.201413017546916,0.02625009613594782,20.0776351474339,0.02907506173566513,21.33352925579868,0.05458050633969444,20.1124476714389,0.031188478377337712,20.31807508895411,0.02774360887336294,24.018204359382555,10.000181803592731
55336.014285714286,20.36995616251902,0.029908601860154045,20.2337042963102,0.032852192250663395,21.595778526567443,0.06496239617261908,20.26539152183901,0.03621228940473011,20.494182432592446,0.03323444024676917,25.561183672770152,53.445266098993315
55339.12857142857,20.54469178492684,0.03416549670396466,20.39747812513554,0.03729937491502685,21.86112639900156,0.07728340448274354,20.42647019776315,0.04259305114924253,20.675670022608983,0.039906116063538354,23.02570821835132,6.169440858554614
55342.24285714285,20.726158720970783,0.038760085772228045,20.568691474919078,0.04204824471595193,22.13578970610293,0.09181842627150694,20.595007806805853,0.049990285903808336,20.863707507431307,0.04744958872782517,23.02570821835132,6.915976793643767
55345.357142857145,20.91439802281197,0.04320274657956295,20.746605539445557,0.046457770844854224,22.427886017161654,0.1105769637128428,20.76982216576706,0.057883946699271105,21.05903776492779,0.05541185999806947,23.02570821835132,7.385405712358623
55348.47142857143,21.10848458930869,0.04668445028625826,20.929795095853855,0.049621447618326986,22.745042617606643,0.1365959752167672,20.949118944763725,0.06573606765205715,21.261306176928745,0.06313117224066357,23.02570821835132,7.604311565446809
55351.58571428571,21.30600208655126,0.04830600737971379,21.11596098880881,0.05073062208057497,23.089507174967775,0.16948424875674142,21.130451051723156,0.07341771020087473,21.468240936499324,0.06988132575825794,25.509629173786443,75.27651285882078
