mjd,r,err_r,g,err_g,i,err_i,V,err_V,B,err_B,R,err_R
56714.43506493507,19.28373469507325,0.05191765800701216,19.31222164164864,0.06293430509140091,19.30706365539469,0.05372910246350723,19.62556634311761,0.05737269655045917,19.77319942008568,0.049862497824193476,19.233436104614828,0.04986866192919849
56717.48701298701,19.316441405687137,0.053788307908407815,19.340961107069983,0.06506394359898307,19.3399898699449,0.05564859144418674,19.655478879985925,0.05929281435431607,19.80367933837885,0.05169687270386226,19.263914852214047,0.051703082787753
56720.53896103896,19.349208430849213,0.05560553146728905,19.36932798666827,0.06713051407112179,19.372998833946326,0.05751978865365439,19.685151898831382,0.06116252358262277,19.833975502698845,0.053466416301374976,19.294209727667024,0.05347268460411547
56723.59090909091,19.382020443933808,0.05735613002042312,19.397304326563994,0.06910956917905442,19.406076391757857,0.059329075732921725,19.71456461676512,0.06296794202463167,19.86406891372845,0.05515546559172498,19.32430172847335,0.05516180586538548
56726.642857142855,19.41486734842703,0.059029694535417426,19.424881142131625,0.0709793620885761,19.43921361235362,0.06106549532206232,19.743703460971354,0.06469829829705441,19.893947576573805,0.0567516174594953,19.35417885710933,0.05675804499443614
56729.694805194806,19.447744545380232,0.060617394344258835,19.452058739166922,0.07272020093318342,19.47240705780252,0.06271957934726616,19.77256238357083,0.06634500707036538,19.923606815828666,0.058244585815934696,19.38383643609486,0.05825111772342381
56732.746753246756,19.480653133395677,0.062110894691807535,19.478846900762697,0.07431391849091923,19.505658986082665,0.06428229786180732,19.801143071667322,0.06790086321617408,19.95304949280606,0.05962521745425058,19.413277325212622,0.05963187317139886
56735.7987012987,19.51360003447785,0.06350139798976608,19.50526493639459,0.07574344958887136,19.538977481708596,0.06574412573482058,19.829455046531702,0.06935935523210651,19.98228611899763,0.06088465165130819,19.442512034939227,0.06089145365273729
56738.85064935065,19.54659804072592,0.06477881226545124,19.531341593977775,0.07699251038192159,19.5723765092461,0.06709423166629915,19.857515648916365,0.07071410348962358,20.011334862617133,0.06201361747417285,19.471558732945553,0.06202059218949305
56741.9025974026,19.57966577866028,0.06593105762392265,19.557114839740844,0.07804537775040586,19.6058758865621,0.06831980030103023,19.88534991058478,0.07195843429393191,20.040221447947452,0.06300187122609127,19.500443143386633,0.06300905017408151
56744.954545454544,19.612827589863265,0.06694352662381581,19.58263151443593,0.07888677261810527,19.63950117649547,0.06940550265240711,19.91299031510654,0.07308510543552396,20.068978949973108,0.06383778340913625,19.529198341464497,0.06384520457084714
56748.006493506495,19.64611332847771,0.06779871748468158,19.607946877480668,0.07950185769990158,19.67328349745524,0.0703331327683502,19.940476453657354,0.07408620267246992,20.09764748930416,0.06450809008518275,19.557864448271324,0.06451579954988408
56751.05844155844,19.679558077838134,0.06847606105669368,19.63312405295523,0.07987636825796857,19.707259255139874,0.07108143055185356,19.967854583828235,0.07495322979747313,20.126273834542893,0.06499782844935525,19.58648823306706,0.0650058823802647
56754.11038961039,19.713201790023483,0.06895196530559392,19.658233392887535,0.07999690455370896,19.741469799052155,0.07162611357626202,19.995177101198692,0.07567741838248301,20.15491092092493,0.0652904822945187,19.615122631824377,0.06529894927695706
56757.16233766234,19.747088853317813,0.06920010724502777,19.68335177390912,0.07985142800083482,19.775961008648757,0.07194014700085724,20.022501934575118,0.07625028794287296,20.183617295190068,0.06536837197975172,19.643826191998816,0.06537733583073237
56760.21428571428,19.781267593396894,0.06919201523762394,19.708561843199803,0.07943002132283125,19.810782814771567,0.07199429355190204,20.049891876327308,0.07666449414380264,20.21245649718867,0.0652133384346096,19.67266245403238,0.06522290156900257
56763.26623376623,19.815789714467552,0.0688980092050186,19.73395122873075,0.0787259987672469,19.845988662393918,0.07175800955755919,20.077413859168782,0.07691501256479963,20.241496388696227,0.06480779562785569,19.70169928006394,0.06481808308423287
56766.318181818184,19.850709686551042,0.0682886097279597,19.75961172726945,0.07773748882544247,19.881634920658986,0.07120079504878672,20.105138190064785,0.07700071854667873,20.270808439317566,0.06413626639576035,19.73100813973104,0.06414743061089122
56769.37012987013,19.886084084627726,0.06733660067499536,19.78563848156646,0.07646966248591565,19.917780245689045,0.07029417680191746,20.133137750787583,0.0769264383769792,20.30046697828081,0.06318758042644937,19.760663361863312,0.06319980677593132
