mjd,r,err_r,i,err_i,g,err_g,z,err_z,V,err_V,u,err_u
55751.40243902439,21.13790127358039,0.08166419719817113,20.70824917878396,0.05341680266998178,21.959715076216252,0.1536676137234049,20.487812510591752,0.060104904603190346,20.98800661295266,0.06755492105181504,22.13334489252221,0.3239422404095191
55754.5243902439,21.35377128238604,0.09696305863289134,20.8711415388286,0.05865147865333955,22.211166117675756,0.2001374895260118,20.636995533919702,0.06297258402258918,21.164468023878804,0.08202879739270048,22.253212864168,0.3604870213831744
55757.64634146341,21.47017529669311,0.1022274251048535,20.98198735946201,0.06006820520369429,22.357417805379033,0.2154777072948085,20.744393231875744,0.06289706185558915,21.284088337962935,0.0870420817500215,22.39382994646304,0.37805332860301283
55760.76829268293,21.476639925956658,0.09159622379915684,21.036290436691477,0.055492090908258185,22.36473204462672,0.17548213628332401,20.807976748050734,0.05948048685617745,21.336608625342684,0.07662954152605138,22.54010342281488,0.36951464151858876
55763.89024390244,21.408682232613614,0.07380466554268089,21.047910269624836,0.04802793891276423,22.269570606182757,0.10644730346279525,20.838771025007418,0.05521755893274463,21.33601766338812,0.056971086041645386,22.682003892851288,0.3498264494763765
55767.01219512195,21.322287759465887,0.06482638074789011,21.044242120612743,0.045535264379321115,22.149975540972477,0.0720483786442038,20.857788705965152,0.054359764254214266,21.31616941665568,0.049441897751793466,22.82751777479996,0.3746056737002129
55770.134146341465,21.26749166006118,0.07016186258456641,21.057734734376808,0.051446650344482744,22.079524330971285,0.09459531630400365,20.890684415086852,0.059056425955664016,21.31902614808319,0.06317598222035306,23.020385431523195,0.5022523379969639
55773.256097560974,21.286026033718922,0.08221083637401759,21.12308019059631,0.05999153585081214,22.125940585132295,0.11499306636475574,20.96567491804717,0.0684963052934976,21.391525752509942,0.07685292547649537,23.38307055760358,0.8102879232670204
55776.37804878049,21.428243498228994,0.10660989264585939,21.285413802822745,0.07148837821565988,22.402648934449445,0.1499926450235052,21.118456789853827,0.08719581698882249,21.603179517888474,0.08633370338450469,24.47800366630181,2.5191243499654745
55779.5,21.804984143159054,0.2318700930817468,21.634637794909494,0.1466751528680568,23.408629910079956,0.8978675884727105,21.41240774246245,0.15163911271371086,22.13697623117042,0.26238449055518615,24.47800366630181,3.2942906044621845
