mjd,R,err_R,i,err_i,r,err_r,g,err_g,B,err_B,z,err_z
56414.9406779661,20.325289225897947,0.025757058101821263,20.35693657804485,0.034558319064356434,20.3031141970491,0.024712938915597546,20.813019775093462,0.04179452912067034,21.211793869772823,0.037981542075687054,20.481468200198346,0.03725569569518294
56418.02542372881,20.361509096389653,0.024922247521859515,20.38150309271287,0.03312253098003694,20.345007859760198,0.023878900597702844,20.878121259537146,0.04051969725469789,21.27343230338961,0.036719218465965396,20.503480394327784,0.03559447921005753
56421.11016949153,20.410038063321366,0.02439558593573983,20.417137491307926,0.03214859651890772,20.3999216793272,0.023335730158006777,20.95990938761,0.039913996348153395,21.351130929265064,0.036034817331784375,20.536327044068095,0.034441807199605774
56424.19491525424,20.470458593362363,0.024298694832073187,20.46320089046505,0.03170049744336535,20.467586373887787,0.02320949756109496,21.059093286633473,0.04005356093181461,21.445408101208777,0.03600176744767924,20.579333440716336,0.03384538781296671
56427.279661016946,20.54211940370299,0.02471517888311969,20.518830404314805,0.03181993300476491,20.54750887024999,0.023593393326341538,21.176386272978156,0.041061849750089044,21.55672587982292,0.036725007155573725,20.631606836552226,0.03383603412680684
56430.36440677966,20.624072100570125,0.025648688603581903,20.58290150853302,0.032499276949223964,20.638898463254037,0.02450024588666435,21.31246816037102,0.04311047350647074,21.685431983692784,0.038329074166047646,20.692004380323326,0.03440327017183076
56433.44915254237,20.715001288095593,0.027009502385951234,20.653997686085827,0.033672608273099626,20.740577256920734,0.025844420155721276,21.46791345571947,0.046451156458105464,21.831662726955727,0.040972049307532836,20.75911035439899,0.035486713167586115
56436.53389830508,20.813158460474078,0.028640933980419593,20.730399240340788,0.035230653727174835,20.85088154463982,0.027469678318712172,21.64306241325759,0.051506023492522764,21.995186218728083,0.04490990389287422,20.831234234207727,0.03698822215952652
56439.6186440678,20.916319078684786,0.030377853021056823,20.810107566877708,0.03705404543819639,20.967571123861166,0.029219307363365806,21.83779796695186,0.05904197249677862,22.175157418957248,0.05063171309325808,20.906444492848244,0.038799883071690494
56442.70338983051,21.021793328212652,0.03212473177512174,20.890923393254212,0.03905228675827958,21.087779335717304,0.031040098495333596,22.051173060373976,0.07042726306019093,22.36975245804469,0.0590581852418301,20.982653895806337,0.04083615940330752
56445.78813559322,21.12652971991491,0.033938263730292545,20.970593900487774,0.04119331899670176,21.2080552179684,0.03310536785997783,22.280816992786413,0.0878817849663399,22.575662059530323,0.07171131512656666,21.057767137789117,0.04305631531429452
56448.872881355936,21.227347763095274,0.03607282574784268,21.047030489892645,0.0435061876931001,21.324560538376737,0.035886629212975966,22.52206454357646,0.11448613964400203,22.787482983055916,0.09062734167051768,21.129888373539,0.04546310732595997
56451.957627118645,21.321309784472277,0.038904058540311426,21.118575648246754,0.046041255500736254,21.433469359922412,0.04001221524371995,22.766875027405238,0.15359464830504233,22.997200853660015,0.11775032703782365,21.19756510974944,0.04806843511427023
56455.042372881355,21.406188155394453,0.042676797092229705,21.184270412159606,0.04879073241148612,21.531556230836188,0.045832768558647416,23.00297978160414,0.20728833300244895,23.194232192747336,0.15377062605073713,21.260022848219506,0.050832424239044556
56458.127118644064,21.48091980450966,0.04720549290919309,21.24405747065473,0.051605622161603776,21.616855736483984,0.052994888986055255,23.214373091386683,0.2738458444385457,23.366736966570727,0.19681519562730754,21.317334027273546,0.05360532446238505
56461.21186440678,21.5459063317549,0.0517789390094483,21.298863399717156,0.05416392118577381,21.68918541496229,0.06043322077032166,23.384669699249333,0.34566389702830996,23.504624227440907,0.24200059400039367,21.37047591556633,0.056112331639434486
56464.29661016949,21.603054240844802,0.05533985815731889,21.350539200590866,0.05602613883222047,21.750329657767416,0.0667449599580283,23.503402144078965,0.4109920155850975,23.60338234383304,0.2830471784849043,21.421264757515047,0.05800977689235316
