mjd,V,err_V,B,err_B,U,err_U,i,err_i,UVW2,err_UVW2,UVM2,err_UVM2
57936.24074074074,15.615490444021754,2.1762257232386824,14.987342412002976,0.3037682069987961,13.678766666500767,0.05962006254865621,15.710296752860213,0.9911515467037134,14.668684611864279,0.10317847458355572,14.323064965443406,0.04864334462273986
57939.3024691358,15.414024028060298,1.3892894111033094,15.049875360338369,0.25357969812049097,13.797143088155625,0.08319617642622225,15.704319265598436,0.7577963174761342,14.87388227483973,0.12739137175480303,14.537112029913981,0.0929787094696461
57942.364197530864,24.59194199252241,9648.717836882422,15.389901544416132,0.5240863985862393,13.948498304406282,0.1748726095589732,16.66888242270469,2.7358932685771067,15.039895848833773,0.3221618133503611,14.63921562698484,0.2636361578041601
57945.42592592593,45.33863979659914,1919325960884.3506,15.53620259521539,0.6473926440793794,14.078072431708561,0.3201975174411089,16.719515617985643,2.8914160432374394,15.046973501455534,0.5732322479546035,14.661068476518462,0.5156101168202084
57948.48765432099,77.848951688375,1.9376417980874527e+25,15.701722342050752,0.840127345044525,14.220123762892474,0.5329849995397308,16.76081988813117,3.054792898800099,15.039737217297123,0.8725048729461726,14.669968819604883,0.813706391109316
57951.549382716046,122.12916183041185,9.985218004780985e+42,15.893100299944491,1.1269336721189627,14.387567360166077,0.8241346016219482,16.83626777782096,3.3540708235154466,15.076228696210592,1.2223472031047393,14.719064765722498,1.1627626074012645
57954.61111111111,178.17945303125447,2.6270844360402007e+65,16.11821372872282,1.5418518617902799,14.592388265310811,1.2188571641681594,16.970178992446073,3.8961642234474616,15.183119012849083,1.6630006065389742,14.834519005907424,1.601265012236468
57957.67283950617,245.9998305915222,3.5287838372891826e+92,16.384400279196726,2.1432145459192986,14.843564691923717,1.7673801293342868,17.172514826672817,4.808219799377561,15.368199020174053,2.2658517706054497,15.024992118369543,2.1984657062238417
57960.734567901236,325.5902946648995,2.419973916233722e+124,16.697529416045352,3.0368145146558314,15.146894473751953,2.5627468556830206,17.44544937194766,6.297413660996974,15.630910105830333,3.149669706920877,15.290870689171754,3.0704591226350306
57963.7962962963,416.95084525562726,8.472877378512633e+160,17.061819516033246,4.416484632613148,15.505679306158392,3.7749325964670883,17.78764075201441,8.737438087535516,15.967679062913318,4.522033351003614,15.629311305311056,4.420414829269328
57966.858024691355,520.0814823639975,1.5145574953490064e+202,17.480052689112647,6.642943289478812,15.921543909615753,5.719305604602064,18.196469015154335,12.825080027978114,16.37424092555221,6.76309375612266,16.036570158035033,6.620331437266558
57969.91975308642,634.9822059902809,1.3822137696299537e+248,17.95391531866612,10.404787676785476,16.39509867955027,8.997394404579783,18.66911368428629,19.895765655816927,16.846593866944485,10.596604147888534,16.509012741792827,10.378196358496027
57972.98148148148,761.6530161342628,6.440198786050158e+298,18.484322417037045,17.058956019829395,16.9263946422484,14.79483966921992,19.203040111439805,32.590930889947714,17.381364357952958,17.45142301903443,17.043523822394505,17.0913302318247
57976.043209876545,inf,inf,19.07167571560674,29.376053871785366,17.51520651299325,25.53370086785684,19.79618696419883,56.321571234707825,17.975908130963273,30.253666543751404,17.637637965886665,29.620552273274754
57979.10493827161,inf,inf,19.7160510889194,53.231283151208366,18.161195258888196,46.35257495160747,20.44699784992682,102.59319016535304,18.628281615548367,55.22620710175172,18.289530412036004,54.048617031983774
57982.166666666664,inf,inf,20.41732754059243,101.58353426667088,18.863993609464412,88.59035385531287,21.154371267504445,196.83758920428252,19.3371460937515,106.12808846102365,18.997935427595685,103.82257134069158
57985.22839506173,inf,inf,21.175272887119036,204.19561979803723,19.623245760900886,178.2980518985184,21.91757247273386,397.5581455878748,20.101641055666384,214.62001778835963,19.762031371249474,209.88136954575936
57988.29012345679,inf,inf,21.98959916372731,432.3041094508168,20.43862197510193,377.8447727894414,22.736135410236994,844.9463542830157,20.921252568076277,456.5897907511316,20.581319242646543,446.37608027492917
